"medcode"	"readcode"	"desc"	"AP"
"10338"	"R105300"	"[d]lithium, blood level abnormal"	"EvidenceOfBP"
"12292"	"44W8000"	"lithium level therapeutic"	"EvidenceOfBP"
"13771"	"44W8.11"	"lithium: blood level"	"EvidenceOfBP"
"13772"	"44W8.00"	"serum lithium level"	"EvidenceOfBP"
"13815"	"44W4.12"	"sodium valproate: blood level"	"EvidenceOfBP"
"13850"	"44WP.00"	"plasma lamotrigine level"	"EvidenceOfBP"
"16641"	"44W8100"	"lithium level high - toxic"	"EvidenceOfBP"
"16889"	"6657.11"	"lithium monitoring"	"EvidenceOfBP"
"19350"	"665B.00"	"lithium stopped"	"EvidenceOfBP"
"19771"	"44W4.00"	"serum sodium valproate level"	"EvidenceOfBP"
"22564"	"6657.00"	"on lithium"	"EvidenceOfBP"
"23111"	"44W8200"	"lithium level low"	"EvidenceOfBP"
"23141"	"44Wg.00"	"serum lamotrigine level"	"EvidenceOfBP"
"26146"	"44vE.00"	"lithium level therapeutic"	"EvidenceOfBP"
"28164"	"SL91200"	"prochlorperazine poisoning"	"EvidenceOfAP"
"33291"	"4Q1C.00"	"olanzapine level"	"EvidenceOfAP"
"33321"	"46P3.00"	"urine lithium"	"EvidenceOfBP"
"34795"	"6657.12"	"started lithium"	"EvidenceOfBP"
"34853"	"TJ92000"	"adverse reaction to haloperidol"	"EvidenceOfAP"
"39194"	"44W4000"	"valproate level therapeutic"	"EvidenceOfBP"
"42337"	"44W4100"	"valproate level low"	"EvidenceOfBP"
"43507"	"U609412"	"[x] adverse reaction to haloperidol"	"EvidenceOfAP"
"43520"	"4Q19.00"	"clozapine level"	"EvidenceOfAP"
"43521"	"4Q1A.00"	"norclozapine level"	"EvidenceOfAP"
"44204"	"44W4200"	"valproate level high"	"EvidenceOfBP"
"45437"	"TJ63300"	"adverse reaction to sodium valproate"	"EvidenceOfBP"
"45584"	"TJ91400"	"adverse reaction to prochlorperazine"	"EvidenceOfAP"
"47396"	"SL91300"	"promazine poisoning"	"EvidenceOfAP"
